Unburned,V_Low,Low,Moderate,High,site_code
135735,6989,6257,3454,1902,JOER
219561,0,0,0,0,LNGR
139772,42587,51851,65385,5372,COMR
30460,4802,15265,10602,6721,PTRR
404135,79262,67875,49009,56244,CBRR
0,22614,26876,18750,8183,BRNR
80927,6526,11943,7711,64,HORR
256542,26955,23667,14161,15166,CBRI
219561,0,0,0,0,LNGO
30460,4802,15265,10602,6721,PTRO
1,0,0,0,0,JOEI
0,22614,26876,18750,8183,BMD
404135,79262,67875,49009,56244,CHD
131475,35639,31776,32327,1376,COMI
139772,42587,51851,65385,5372,COMO
80924,4959,5292,3094,16,HORI
80927,6526,11943,7711,64,HORO
